ID,TL,Depth,mean Rug,ID.chapter,Site,Life stage,Species,ID.chapter,total,Pavement,Coarse rubble,Fine rubble,Sand,Algae,Soft Coral,Coarse Branching,Fine Branching,Mounding Coral,"Other (clam, sponges, holes)"
1,1.996,1.8,1.533,4,2,recruits,chrysurus,4,1,0,1,0,0,0,0,0,0,0,0
2,1.722,1.8,1.5,5,3,recruits,chrysurus,5,1,0,0,1,0,0,0,0,0,0,0
3,2.055,1.4,1.767,6,3,recruits,chrysurus,6,1,1,0,0,0,0,0,0,0,0,0
4,1.484,1.4,2.133,17,3,recruits,moluccensis,17,1,0,0,0,0,0,0,0,1,0,0
5,1.506,2.3,1.933,32,3,recruits,moluccensis,32,1,0,0,0,0,0,0,0,1,0,0
6,1.528,3.1,1.86,33,3,recruits,moluccensis,33,1,0,0,0,0,0,0,0,1,0,0
8,1.448,1.9,1.607,36,3,recruits,moluccensis,36,1,0,0,0,0,0,0,0,1,0,0
9,1.737,2.9,1.62,42,2,recruits,amboinensis,42,1,1,0,0,0,0,0,0,0,0,0
10,1.86,1.7,1.3,46,3,recruits,chrysurus,46,1,0,1,0,0,0,0,0,0,0,0
11,1.498,1,2.28,47,3,recruits,moluccensis,47,1,0,0,0,0,0,0,0,1,0,0
12,1.593,2.6,2.04,49,2,recruits,amboinensis,49,1,1,0,0,0,0,0,0,0,0,0
13,1.769,2.1,1.153,52,3,recruits,amboinensis,52,1,0,0,1,0,0,0,0,0,0,0
14,1.728,2.6,1.167,54,3,recruits,amboinensis,54,1,0,0,0,1,0,0,0,0,0,0
15,1.725,3.7,1.507,55,2,recruits,amboinensis,55,1,0,1,0,0,0,0,0,0,0,0
16,1.74,2.8,1.433,56,2,recruits,amboinensis,56,1,0,0,0,0,0,0,0,0,1,0
17,1.663,2.7,2.147,57,2,recruits,amboinensis,57,1,0,0,0,0,0,1,0,0,0,0
18,1.45,1.8,1.8,60,3,recruits,moluccensis,60,1,0,0,0,0,0,0,0,1,0,0
19,1.566,2.3,1.84,61,3,recruits,moluccensis,61,1,0,0,0,0,0,0,0,1,0,0
20,1.666,3.3,1.353,62,3,recruits,amboinensis,62,1,1,0,0,0,0,0,0,0,0,0
22,1.738,3.3,1.587,64,3,recruits,amboinensis,64,1,1,0,0,0,0,0,0,0,0,0
23,1.544,1.7,1.787,65,3,recruits,moluccensis,65,1,0,0,0,0,0,0,0,1,0,0
24,1.773,2.4,1.36,67,2,recruits,amboinensis,67,1,1,0,0,0,0,0,0,0,0,0
25,1.766,2.4,1.22,69,2,recruits,amboinensis,69,1,0,0,0,1,0,0,0,0,0,0
26,1.87,2.1,1.487,70,2,recruits,chrysurus,70,1,1,0,0,0,0,0,0,0,0,0
27,1.687,2.3,2.033,71,2,recruits,amboinensis,71,1,1,0,0,0,0,0,0,0,0,0
28,1.626,2.8,1.127,72,2,recruits,amboinensis,72,1,0,0,0,0,0,0,0,0,1,0
29,1.798,2.9,2.02,73,2,recruits,amboinensis,73,1,1,0,0,0,0,0,0,0,0,0
30,1.596,2.7,1.42,74,2,recruits,amboinensis,74,1,0,0,0,1,0,0,0,0,0,0
31,1.615,2,1.633,75,2,recruits,moluccensis,75,1,0,0,0,0,0,0,0,1,0,0
32,1.608,3.2,1.6,77,3,recruits,moluccensis,77,1,0,0,0,0,0,0,0,1,0,0
34,1.596,3.1,1.553,79,3,recruits,amboinensis,79,1,1,0,0,0,0,0,0,0,0,0
35,1.584,1.7,1.867,80,3,recruits,moluccensis,80,1,0,0,0,0,0,0,0,1,0,0
36,1.611,2,1.833,81,3,recruits,moluccensis,81,1,0,0,0,0,0,0,0,0,1,0
37,1.639,1.4,1.66,82,3,recruits,moluccensis,82,1,0,0,0,0,0,0,0,1,0,0
39,1.506,1.6,1.713,84,3,recruits,moluccensis,84,1,0,0,0,0,0,1,0,0,0,0
