ID,TL,Depth,mean Rug,ID.chapter,Site,Life stage,Species,Pavement,Coarse rubble,Fine rubble,Sand,Algae,Soft Coral,Coarse Branching,Fine Branching,Mounding Coral,"Other (clam, sponges, holes)"
1,2.0,1.8,1.533,4,2,recruits,chrysurus,15,21,47,13,2,0,0,1,1,0
2,1.7,1.8,1.5,5,3,recruits,chrysurus,38,13,30,10,1,0,1,3,4,0
3,2.1,1.4,1.767,6,3,recruits,chrysurus,24,12,27,30,2,1,0,0,4,0
4,1.5,1.4,2.133,17,3,recruits,moluccensis,31,1,6,0,6,5,0,32,17,2
5,1.5,2.3,1.933,32,3,recruits,moluccensis,27,2,7,10,2,9,0,14,29,0
6,1.5,3.1,1.86,33,3,recruits,moluccensis,39,6,2,14,0,7,0,17,15,0
7,1.5,3.1,1.86,34,3,recruits,moluccensis,39,6,2,14,0,7,0,17,15,0
8,1.4,1.9,1.607,36,3,recruits,moluccensis,27,1,4,6,0,34,0,21,7,0
9,1.7,2.9,1.62,42,2,recruits,amboinensis,20,3,6,37,1,13,0,2,18,0
10,1.9,1.7,1.3,46,3,recruits,chrysurus,39,17,18,14,1,5,2,3,1,0
11,1.5,1,2.28,47,3,recruits,moluccensis,24,1,2,0,0,3,0,12,58,0
12,1.6,2.6,2.04,49,2,recruits,amboinensis,34,7,2,7,1,30,0,8,11,0
13,1.8,2.1,1.153,52,3,recruits,amboinensis,33,3,38,11,1,2,0,0,12,0
14,1.7,2.6,1.167,54,3,recruits,amboinensis,10,0,1,59,1,28,0,1,0,0
15,1.7,3.7,1.507,55,2,recruits,amboinensis,15,40,1,33,5,3,0,3,0,0
16,1.7,2.8,1.433,56,2,recruits,amboinensis,29,8,13,30,7,3,0,1,9,0
17,1.7,2.7,2.147,57,2,recruits,amboinensis,47,0,1,22,1,9,0,10,10,0
18,1.5,1.8,1.8,60,3,recruits,moluccensis,62,5,3,2,3,4,0,15,5,1
19,1.6,2.3,1.84,61,3,recruits,moluccensis,20,0,7,19,0,16,1,18,19,0
20,1.7,3.3,1.353,62,3,recruits,amboinensis,30,1,0,65,2,0,0,1,1,0
21,1.8,3.2,1.587,63,3,recruits,amboinensis,27,2,1,34,3,20,0,5,8,0
22,1.7,3.3,1.587,64,3,recruits,amboinensis,27,2,1,34,3,20,0,5,8,0
23,1.5,1.7,1.787,65,3,recruits,moluccensis,53,5,11,4,5,8,0,9,5,0
24,1.8,2.4,1.36,67,2,recruits,amboinensis,38,10,10,23,0,6,0,4,9,0
25,1.8,2.4,1.22,69,2,recruits,amboinensis,9,0,5,52,0,18,0,0,14,2
26,1.9,2.1,1.487,70,2,recruits,chrysurus,56,0,13,3,4,3,0,1,17,3
27,1.7,2.3,2.033,71,2,recruits,amboinensis,47,6,8,5,5,12,0,0,17,0
28,1.6,2.8,1.127,72,2,recruits,amboinensis,6,9,3,65,0,0,0,0,17,0
29,1.8,2.9,2.02,73,2,recruits,amboinensis,44,10,0,3,1,30,0,0,12,0
