"ID","TL","Depth","mean.Rug","ID.chapter","Site","life_stage","Species","Pavement","Sand","Algae","Soft.cor","Cbranching","Fbranching","Mcoral","Rubble"
1,2,1.8,1.533,4,"2","recruits","chrysurus",15,13,2,0,0,1,1,68
2,1.7,1.8,1.5,5,"3","recruits","chrysurus",38,10,1,0,1,3,4,43
3,2.1,1.4,1.767,6,"3","recruits","chrysurus",24,30,2,1,0,0,4,39
4,1.5,1.4,2.133,17,"3","recruits","moluccensis",31,0,6,5,0,32,17,7
5,1.5,2.3,1.933,32,"3","recruits","moluccensis",27,10,2,9,0,14,29,9
6,1.5,3.1,1.86,33,"3","recruits","moluccensis",39,14,0,7,0,17,15,8
7,1.5,3.1,1.86,34,"3","recruits","moluccensis",39,14,0,7,0,17,15,8
8,1.4,1.9,1.607,36,"3","recruits","moluccensis",27,6,0,34,0,21,7,5
9,1.7,2.9,1.62,42,"2","recruits","amboinensis",20,37,1,13,0,2,18,9
10,1.9,1.7,1.3,46,"3","recruits","chrysurus",39,14,1,5,2,3,1,35
11,1.5,1,2.28,47,"3","recruits","moluccensis",24,0,0,3,0,12,58,3
12,1.6,2.6,2.04,49,"2","recruits","amboinensis",34,7,1,30,0,8,11,9
13,1.8,2.1,1.153,52,"3","recruits","amboinensis",33,11,1,2,0,0,12,41
14,1.7,2.6,1.167,54,"3","recruits","amboinensis",10,59,1,28,0,1,0,1
15,1.7,3.7,1.507,55,"2","recruits","amboinensis",15,33,5,3,0,3,0,41
16,1.7,2.8,1.433,56,"2","recruits","amboinensis",29,30,7,3,0,1,9,21
17,1.7,2.7,2.147,57,"2","recruits","amboinensis",47,22,1,9,0,10,10,1
18,1.5,1.8,1.8,60,"3","recruits","moluccensis",62,2,3,4,0,15,5,8
19,1.6,2.3,1.84,61,"3","recruits","moluccensis",20,19,0,16,1,18,19,7
20,1.7,3.3,1.353,62,"3","recruits","amboinensis",30,65,2,0,0,1,1,1
21,1.8,3.2,1.587,63,"3","recruits","amboinensis",27,34,3,20,0,5,8,3
22,1.7,3.3,1.587,64,"3","recruits","amboinensis",27,34,3,20,0,5,8,3
23,1.5,1.7,1.787,65,"3","recruits","moluccensis",53,4,5,8,0,9,5,16
24,1.8,2.4,1.36,67,"2","recruits","amboinensis",38,23,0,6,0,4,9,20
25,1.8,2.4,1.22,69,"2","recruits","amboinensis",9,52,0,18,0,0,14,5
26,1.9,2.1,1.487,70,"2","recruits","chrysurus",56,3,4,3,0,1,17,13
27,1.7,2.3,2.033,71,"2","recruits","amboinensis",47,5,5,12,0,0,17,14
28,1.6,2.8,1.127,72,"2","recruits","amboinensis",6,65,0,0,0,0,17,12
29,1.8,2.9,2.02,73,"2","recruits","amboinensis",44,3,1,30,0,0,12,10
30,1.6,2.7,1.42,74,"2","recruits","amboinensis",31,34,2,6,0,0,5,22
31,1.6,2,1.633,75,"2","recruits","moluccensis",15,1,0,3,0,15,52,14
32,1.6,3.2,1.6,77,"3","recruits","moluccensis",24,23,0,1,0,12,36,4
33,1.7,3.1,1.553,78,"3","recruits","amboinensis",28,49,2,0,0,0,5,16
34,1.6,3.1,1.553,79,"3","recruits","amboinensis",28,49,2,0,0,0,5,16
35,1.6,1.7,1.867,80,"3","recruits","moluccensis",36,1,0,37,0,10,13,2
36,1.6,2,1.833,81,"3","recruits","moluccensis",33,2,0,27,0,22,12,2
37,1.6,1.4,1.66,82,"3","recruits","moluccensis",55,0,3,0,0,27,3,10
38,1.6,1.6,1.713,83,"3","recruits","moluccensis",18,2,1,29,0,15,5,16
39,1.5,1.6,1.713,84,"3","recruits","moluccensis",18,2,1,29,0,15,5,16
40,1.4,2.5,2.207,85,"3","recruits","moluccensis",26,13,0,11,0,21,22,6
41,1.5,3,1.407,86,"3","recruits","moluccensis",18,7,1,11,0,3,11,48
42,1.4,2.6,1.807,87,"3","recruits","moluccensis",50,0,1,0,1,13,32,0
43,1.6,1.2,1.993,88,"3","recruits","moluccensis",48,15,0,0,0,22,7,6
44,1.5,1.2,1.993,89,"3","recruits","moluccensis",48,15,0,0,0,22,7,6
45,1.6,1.2,1.993,90,"3","recruits","moluccensis",48,15,0,0,0,22,7,6
46,1.7,1.2,1.993,91,"3","recruits","moluccensis",48,15,0,0,0,22,7,6
47,1.6,3,1.72,93,"3","recruits","amboinensis",22,23,0,2,0,14,30,9
