"Species","life_stage","Habitat","mean_wi","n","se_wi","ci_lower","ci_upper"
"amboinensis","adult","Algae",0.146732080013606,30,0.0438496320711255,0.0268310147773564,0.266633145249856
"amboinensis","adult","Fbranching",0.428275509213596,30,0.112343868121681,0.121085942863271,0.73546507556392
"amboinensis","adult","Mcoral",0.922690748227461,30,0.271203189755224,0.181121211352544,1.66426028510238
"amboinensis","adult","Pavement",0.517685349240966,30,0.0574855650048338,0.360498614615525,0.674872083866408
"amboinensis","adult","Rubble",1.01099628398612,30,0.17961840902303,0.519853312866794,1.50213925510544
"amboinensis","adult","Sand",3.98809883345816,30,0.330949722225533,3.08316024309284,4.89303742382348
"amboinensis","adult","Soft.cor",0.659309997914473,30,0.136637882308385,0.285691637472431,1.03292835835652
"amboinensis","juvenile","Algae",0.219663296944823,35,0.0590893071033671,0.0580913399835028,0.381235253906143
"amboinensis","juvenile","Fbranching",0.688041841958708,35,0.16761881426812,0.229710188188259,1.14637349572916
"amboinensis","juvenile","Mcoral",0.739489706356447,35,0.215359546925218,0.150617283362205,1.32836212935069
"amboinensis","juvenile","Pavement",0.663253144637769,35,0.0759766151294896,0.455505059721249,0.87100122955429
"amboinensis","juvenile","Rubble",0.983956184860863,35,0.135993749421115,0.612099121280152,1.35581324844157
"amboinensis","juvenile","Sand",3.25870565256341,35,0.369699327085795,2.24781135217769,4.26959995294912
"amboinensis","juvenile","Soft.cor",0.830047022290872,35,0.199540725228686,0.28442909158336,1.37566495299838
"amboinensis","recruits","Algae",0.315667069737481,63,0.048602931273194,0.182768731530042,0.44856540794492
"amboinensis","recruits","Fbranching",0.795649253391962,63,0.149618150796182,0.386538051956069,1.20476045482785
"amboinensis","recruits","Mcoral",0.971913424347668,63,0.145186858140864,0.574919011232469,1.36890783746287
"amboinensis","recruits","Pavement",0.680940798200906,63,0.063192498958272,0.508149201506377,0.853732394895435
"amboinensis","recruits","Rubble",0.681236060811942,63,0.0719365456350306,0.484535015816495,0.877937105807389
"amboinensis","recruits","Sand",3.39657109942308,63,0.273188712328602,2.64957241159856,4.1435697872476
"amboinensis","recruits","Soft.cor",0.897445334019351,63,0.130316308456663,0.541112487799223,1.25377818023948
"chrysurus","adult","Algae",0.719218116880568,30,0.100764136746961,0.443691806557719,0.994744427203418
"chrysurus","adult","Fbranching",0.566784112222692,30,0.0877148099555916,0.326939473763433,0.806628750681951
"chrysurus","adult","Mcoral",0.632373807077352,30,0.110522673092767,0.330164059568279,0.934583554586425
"chrysurus","adult","Pavement",1.01384085022705,30,0.0723483666232478,0.81601373477578,1.21166796567831
"chrysurus","adult","Rubble",1.49845222578062,30,0.202205358641017,0.945548204642874,2.05135624691836
"chrysurus","adult","Sand",1.35203267687819,30,0.259708873952511,0.641892838356767,2.06217251539962
"chrysurus","adult","Soft.cor",0.669704058534612,30,0.0962737179947938,0.40645620908615,0.932951907983073
"chrysurus","juvenile","Algae",0.817426623540032,34,0.149397065874242,0.408919949813865,1.2259332972662
"chrysurus","juvenile","Fbranching",0.461506380768455,34,0.0898949937579639,0.215700315771084,0.707312445765826
"chrysurus","juvenile","Mcoral",0.629989826554331,34,0.104903272523144,0.343145592561864,0.916834060546798
"chrysurus","juvenile","Pavement",1.06855832363155,34,0.051152646038031,0.92868812495658,1.20842852230652
"chrysurus","juvenile","Rubble",1.46455579233957,34,0.157073476926624,1.03505897983917,1.89405260483997
"chrysurus","juvenile","Sand",1.23000342092692,34,0.161497919474543,0.788408550825677,1.67159829102815
"chrysurus","juvenile","Soft.cor",0.713439397675832,34,0.129425035669933,0.359543619944023,1.06733517540764
"chrysurus","recruits","Algae",0.594838134672999,72,0.0742702925960477,0.39175576483168,0.797920504514318
"chrysurus","recruits","Fbranching",0.348104937401823,72,0.0667086461632463,0.165698897541157,0.53051097726249
"chrysurus","recruits","Mcoral",0.314172807200055,72,0.0527434062522995,0.169952883448329,0.458392730951782
"chrysurus","recruits","Pavement",0.944212825793191,72,0.0429090210681807,0.826883737923663,1.06154191366272
"chrysurus","recruits","Rubble",1.98436851464143,72,0.105481874367831,1.69594216982502,2.27279485945784
"chrysurus","recruits","Sand",1.8960508340717,72,0.141187960851885,1.50999088088404,2.28211078725937
"chrysurus","recruits","Soft.cor",0.279388244498643,72,0.0524962635176497,0.135844100126362,0.422932388870925
"moluccensis","adult","Algae",0.371609330559807,30,0.0744430302871451,0.168054632167694,0.575164028951921
"moluccensis","adult","Fbranching",1.08263530443223,30,0.196411177739024,0.545574710696426,1.61969589816804
"moluccensis","adult","Mcoral",1.5209341822314,30,0.27738036216947,0.762473977917931,2.27939438654487
"moluccensis","adult","Pavement",0.747083857372009,30,0.0657913119197497,0.567186147633577,0.92698156711044
"moluccensis","adult","Rubble",0.823761632161689,30,0.163697484368108,0.376152340471533,1.27137092385184
"moluccensis","adult","Sand",1.04020184943141,30,0.26712008699078,0.3097970213078,1.77060667755503
"moluccensis","adult","Soft.cor",1.65673691869069,30,0.275072762393432,0.90458654317663,2.40888729420475
"moluccensis","juvenile","Algae",0.682030068591666,34,0.117771806469834,0.359998517046925,1.00406162013641
"moluccensis","juvenile","Fbranching",1.68079055773359,34,0.228536568677797,1.05588729775963,2.30569381770755
"moluccensis","juvenile","Mcoral",1.35453053304675,34,0.309824576144034,0.507355882737633,2.20170518335587
"moluccensis","juvenile","Pavement",0.832769759718792,34,0.0760174130447655,0.624910118256186,1.0406294011814
"moluccensis","juvenile","Rubble",1.46078302277042,34,0.284329084628869,0.683322448657688,2.23824359688314
"moluccensis","juvenile","Sand",0.877648950699778,34,0.194690436832139,0.345293497189469,1.41000440421009
"moluccensis","juvenile","Soft.cor",0.578760968022244,34,0.120872753293054,0.248250284275391,0.909271651769098
